Cleantext,Target
in parallel the increased renal plasma flow gfr and free fraction that occur during pregnancy will lead to an increase of the maternal total plasma clearance clp of a drug like cft ie primarily excreted though the kidneys,1
whereas hydralazine exerted a significant influence on the auc of metoprolol it had no effect on the plasma concentrations of alphaohmetoprolol,1
cohen md,0
maternal,0
daily suppressive acyclovir therapy decreases the frequency of symptomatic genital herpes recurrences in nonpregnant adults data from two prospective trials suggest that acyclovir therapy during late pregnancy decreases the frequency of hsv recurrence at delivery the bioavailability of oral acyclovir is only approximately  as a result plasma levels adequate for the from the department of obstetrics and gynecology university of alabama at birminghama and glaxowellcome incb support provided in part by glaxo wellcome inc,1
misoprostols absorption proles when administered by different routes should be compared because such comparisons may reveal weaknesses inherent in some of the proposed regimens,0
model stability was assessed by condition number with a condition number less than  considered indicative of model stability,0
perturbations in drug pharmacokinetics depend on the gestation state,0
mecillinam crosses the placenta readily since the ratio of umbilical to maternal plasma concentration is high and the concentration in umbilical plasma exceeds the micvalues  jig ml for susceptible organisms neu ,1
figure  demonstrates the repeated measures model which yielded the following equation according to the model a kgm increase in bmi at the time of cesarean delivery was associated with a gml lower concentration of cefazolin throughout the measuring interval p,1
detection was accomplished utilizing ion spray msms in positive ion multiple reaction monitoring mode mrm,0
in addition the latter model parameters were precisely estimated with se of ,0
in accordance with the study performed in normal term pregnancies by beitins et al  we showed that after intravenous administration of prednisolone the fetal level of prednisolone was about fold lower than the maternal level of prednisolone,1
even with the markedly higher pyrimethamine concentrations found in the png study the treatment failed in  of parasitemic pregnant women with recommended doses of sp and chloroquine,0
there was no significant difference between the plasma concentrations of the two enantiomers in the child,0
pharmacokinetics of oseltamivir among pregnant and nonpregnant women richard h,0
fig ,0
the halflife of sotalol after intravenous administration in man has been estimated at  h anttila et al ,1
in two previously published case reports both infants developed normally after exposure to fluoxetine during nursing,0
in contrast both  and  iukg provided good antixa levels at both gestations,1
key words celiprolol maternofetal transfer enantioselectivity r sceliprololhci fig l is a chiral illselective adrenoceptor antagonist with weak vaso and bronchodilating effects,0
the  increase in glomerular filtration rate observed during pregnancy induces a  increase in enoxaparin clearance in agreement with the general model that we established earlier in a larger population,1
mean standard deviation n recovery of labetalol following dialysis was   indicating minimal nonspecific binding,0
the objective of the present study was therefore to assess the inuence of tdm on the drugs pharmacokinetics placental transfer and distribution in amniotic uid,1
